age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
28,Self-emp-not-inc,121159,Doctorate,16,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,1863,13,United-States,<=50K
34,Private,40269,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,1,0,47,United-States,>50K
32,Local-gov,177921,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
33,Private,91383,HS-grad,9,Divorced,Adm-clerical,Own-child,White,Male,0,0,51,United-States,<=50K
31,Private,60355,HS-grad,10,Divorced,Handlers-cleaners,Not-in-family,White,Female,4,0,40,United-States,<=50K
34,Private,92912,Masters,14,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,<=50K
41,Private,109987,HS-grad,10,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,>50K
37,Private,89075,Some-college,10,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,3,0,40,United-States,>50K
30,Private,193262,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Own-child,White,Female,0,0,40,United-States,<=50K
59,Private,114652,Bachelors,13,Married-civ-spouse,Sales,Not-in-family,White,Male,0,0,40,United-States,<=50K
27,Private,139895,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,1,0,40,United-States,<=50K
30,Private,76307,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,34,United-States,<=50K
43,Local-gov,100606,Assoc-voc,11,Never-married,Protective-serv,Not-in-family,White,Male,2,0,40,United-States,<=50K
26,Private,291785,Some-college,10,Never-married,Adm-clerical,Unmarried,Black,Female,0,0,40,United-States,<=50K
39,Private,170691,Some-college,10,Separated,Exec-managerial,Unmarried,White,Female,52,0,40,United-States,>50K
21,Private,272298,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,3,0,40,United-States,<=50K
57,Private,109588,Some-college,10,Widowed,Adm-clerical,Unmarried,White,Female,0,0,21,United-States,<=50K
37,Federal-gov,234222,Some-college,10,Separated,Adm-clerical,Unmarried,White,Male,2,0,40,United-States,<=50K
56,Private,134331,Some-college,10,Widowed,Machine-op-inspct,Not-in-family,White,Female,0,0,40,United-States,<=50K
25,Private,129969,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Male,4711,0,40,United-States,<=50K
33,Private,121505,Bachelors,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,1,0,57,United-States,<=50K
32,Private,90994,Some-college,10,Divorced,Machine-op-inspct,Not-in-family,White,Male,0,0,50,United-States,<=50K
42,Private,101830,11th,7,Divorced,Other-service,Unmarried,Black,Female,1,0,40,United-States,<=50K
63,Self-emp-not-inc,304327,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Black,Male,1,0,40,United-States,<=50K
28,Private,106797,Bachelors,13,Never-married,Other-service,Not-in-family,White,Female,0,0,40,United-States,<=50K
23,Federal-gov,216285,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Male,1,0,40,United-States,<=50K
34,Self-emp-not-inc,121647,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,2,0,59,United-States,<=50K
25,Private,269985,HS-grad,9,Never-married,Other-service,Own-child,Other,Male,3,0,60,United-States,<=50K
31,Self-emp-not-inc,90798,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,0,0,40,Philippines,<=50K
30,Private,209545,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,40,United-States,<=50K
38,Self-emp-inc,132218,Assoc-voc,11,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,United-States,>50K
19,Private,65880,Some-college,10,Never-married,Prof-specialty,Own-child,White,Male,0,0,18,United-States,<=50K
34,Private,130307,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,1,0,45,United-States,<=50K
46,Private,300316,HS-grad,9,Divorced,Machine-op-inspct,Not-in-family,Black,Male,0,0,40,United-States,<=50K
44,Private,179948,10th,5,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,57,United-States,<=50K
27,Private,122507,Assoc-voc,11,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,40,United-States,<=50K
50,Private,131518,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female,1,0,40,United-States,<=50K
37,Federal-gov,328400,Some-college,10,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,50,United-States,>50K
28,Private,233079,Some-college,10,Married-civ-spouse,Other-service,Husband,White,Male,0,0,36,United-States,<=50K
50,Self-emp-inc,114850,Prof-school,5,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,63,United-States,>50K
55,Private,120101,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,2,0,61,United-States,>50K
41,Federal-gov,200380,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
21,Private,185510,Some-college,10,Never-married,Exec-managerial,Own-child,White,Female,1,0,40,United-States,<=50K
45,Federal-gov,227827,HS-grad,9,Never-married,Transport-moving,Not-in-family,Black,Male,0,1767,40,United-States,<=50K
54,Self-emp-inc,95524,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1989,50,United-States,>50K
26,Private,84399,Some-college,10,Never-married,Tech-support,Own-child,White,Female,0,0,40,United-States,<=50K
31,Private,125039,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,White,Female,0,0,46,United-States,<=50K
